CityNormalized,City,SourceNameVariants,YearsObserved,MissingYears,FirstYear,LastYear,ObservationCount
鄂州,鄂州,鄂州,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
酒泉,酒泉,酒泉,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
重庆,重庆,重庆,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
金华,金华,金华,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
金昌,金昌,金昌,2020|2021|2022|2023,2017|2018|2019|2024,2020,2023,4
钦州,钦州,钦州,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
铜仁,铜仁,铜仁,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
铜川,铜川,铜川,2023|2024,2017|2018|2019|2020|2021|2022,2023,2024,2
铜陵,铜陵,铜陵,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
银川,银川,银川,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
锡林郭勒,锡林郭勒,锡林郭勒,2023|2024,2017|2018|2019|2020|2021|2022,2023,2024,2
锦州,锦州,锦州,2023|2024,2017|2018|2019|2020|2021|2022,2023,2024,2
镇江,镇江,镇江,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
长春,长春,长春,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
长沙,长沙,长沙,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
长治,长治,长治,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
阜阳,阜阳,阜阳,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
阳江,阳江,阳江,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
阳泉,阳泉,阳泉,2024,2017|2018|2019|2020|2021|2022|2023,2024,2024,1
阿克苏,阿克苏,阿克苏,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
随州,随州,随州,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
雅安,雅安,雅安,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
青岛,青岛,青岛,2017|2018|2019|2020|2021|2022|2023|2024,,2017,2024,8
鞍山,鞍山,鞍山,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
韶关,韶关,韶关,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
马鞍山,马鞍山,马鞍山,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
驻马店,驻马店,驻马店,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
鹤壁,鹤壁,鹤壁,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
鹰潭,鹰潭,鹰潭,2024,2017|2018|2019|2020|2021|2022|2023,2024,2024,1
黄冈,黄冈,黄冈,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
黄山,黄山,黄山,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
黄石,黄石,黄石,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
黔东南,黔东南,黔东南,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
黔南,黔南,黔南,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
黔西南州,黔西南州,黔西南州,2020|2021|2022|2023|2024,2017|2018|2019,2020,2024,5
齐齐哈尔,齐齐哈尔,齐齐哈尔,2018|2019|2020|2021|2022|2023|2024,2017,2018,2024,7
龙岩,龙岩,龙岩,2021|2022|2023|2024,2017|2018|2019|2020,2021,2024,4
